State,Mean Sale Price
AL,596.4268293
AK,644.4
AZ,701.8446654
AR,690.90625
CA,697.9200955
CO,645.1904762
CT,631.5451128
DE,722.5436384
DC,717.8395062
FL,649.7588555
GA,645.0643939
HI,641.3821656
ID,538.0434783
IL,645.2619048
IN,625.334728
IA,684.4927536
KS,672.8
KY,725.7032967
LA,633.484375
ME,602.6956522
MD,638.7234091
MA,666.7815126
MI,667.3170524
MN,642.8844221
MS,638.3548387
MO,638.0604027
MT,735.875
NE,711.4318182
NV,718.0200803
NH,678.3516814
NJ,677.1418797
NM,674.5384615
NY,667.6206878
NC,632.5895954
ND,684.8666667
OH,642.5873016
OK,629.6897431
OR,708.5047276
PA,660.8807854
RI,623.127907
SC,646.8333333
SD,651
TN,645.5868263
TX,628.3539761
UT,636.5428571
VT,631.2758621
VA,655.7157025
WA,670.485625
WV,545.88
WI,672.6047619
WY,600